symbol_nse,note
NSE:COUNCODOS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CPCAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CPEDU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CREATIVEYE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CREST-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CROWN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CSLFINANCE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CTE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CUBEXTUB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CURAA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CYBERMEDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CYBERTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:CYIENTDLM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DALMIASUG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DAMCAPITAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DAMODARIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DANGEE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DAVANGERE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DBCORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DBEIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DBOL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DBSTOCKBRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCMFINSERV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCMNVL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCMSIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCMSRIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCW-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DCXINDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DDEVPLSTIK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DECCANCE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DEEDEV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DEEPINDS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DELPHIFX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DELTACORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DELTAMAGNT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DEN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DENORA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DENTA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DEVIT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DEVX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DGCONTENT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHAMPURSUG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHANBANK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHANUKA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHARAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHARMAJ-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHARSUGAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHRUV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DHUNINV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIAMINESQ-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIAMONDYD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DICIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIFFNKG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIGIDRIVE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIGISPICE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIGITIDE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIGJAMLMTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DISHTV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DIVGIITTS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DJML-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DLINKINDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DMCC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DNAMEDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DODLA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DOLATALGO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DOLLAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DOLPHIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DONEAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DPABHUSHAN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DPSCLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DPWIRES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DRCSYSTEMS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DREAMFOLKS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DREDGECORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DSFCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DSKULKARNI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DSSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DTIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DUCON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DVL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DWARKESH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DYCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:DYNPRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:E2E-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EASEMYTRIP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EASTSILK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EBGNG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ECOSMOBLTY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EDUCOMP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EFCIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EIFFL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EIHAHOTELS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EIMCOELECO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EKC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ELDEHSG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ELECTHERM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ELGIRUBCO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ELIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMAMIPAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMAMIREAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMBDL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMKAY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMMBI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMSLIMITED-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EMUDHRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ENERGYDEV-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ENIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EPACK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EPACKPEB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EPIGRAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EQUIPPP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EROSMEDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ESABINDIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ESAFSFB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ESSARSHPNG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ESSENTIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:ESTER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EUROBOND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EUROPRATIK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EUROTEXIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EVEREADY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EVERESTIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXCEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXCELINDUS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXCELSOFT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXICOM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXPLEOSOL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:EXXARO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FABTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FAIRCHEMOR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FAZE3Q-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FCSSOFT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FDC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FEDDERELEC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FELDVR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FIBERWEB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FILATEX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FILATFASH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FINEORG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FINKURVE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FINOPB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FISCHER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FLAIR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FLEXITUFF-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FLFL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FMGOETZE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FMNL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FOCUS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FOODSIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FOSECOIND-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FRACTAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:FUSION-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GALAPREC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GALAXYSURF-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANDHAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANDHITUBE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANECOS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANESHBE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANESHCP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANESHHOU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANGAFORGE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANGESSECU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GANGOTRI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GARFIBRES-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GARUDA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GATECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GATECHDVR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GATEWAY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GAUDIUMIVF-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GAYAHWS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GAYAPROJ-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GBGLOBAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GCSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GEECEE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GEEKAYWIRE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GEMAROMA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GENCON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GENESYS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GENUSPAPER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GENUSPOWER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GEOJITFSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GFLLIMITED-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GFSTEELS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GHCLTEXTIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GICHSGFIN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GICL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GILLANDERS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GINNIFILA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GIPCL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GKENERGY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GKSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GKWLIMITED-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLFL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBALE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBALVECT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBECIVIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOBUSSPR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOSTERLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GLOTTIS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GMBREW-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GNA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOACARBON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOCLCORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOCOLORS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GODAVARIB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOENKA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOKUL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOLDENTOBC-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOLDIAM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOLDTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOODLUCK-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOPAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GOYALALUM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GPTHEALTH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GPTINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GREENLAM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GREENPANEL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GREENPLY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GREENPOWER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GRINDWELL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GRINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GRMOVER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GROBTEA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GRPLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GSLSU-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GSPCROP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GSS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GTECJAINX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GTL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GTLINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GTPL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GUFICBIO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GUJALKALI-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GUJAPOLLO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GUJRAFFIA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GUJTHEM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GULFOILLUB-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GULFPETRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GULPOLY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GVKPIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GVPIL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:GVPTECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HALDER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HALEOSLABS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HAPPYFORGE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HARDWYN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HARIOMPIPE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HARRMALAYA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HARSHA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HATHWAY-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HATSUN-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HAVISHA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HBSL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HCL-INSYS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HEADSUP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HECPROJECT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HEIDELBERG-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HERANBA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HESTERBIO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HEXATRADEX-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HGM-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HGS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HIKAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HILINFRA-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HILTON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HIMATSEIDE-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HINDCOMPOS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HINDCON-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HINDOILEXP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HINDWAREAP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HIRECT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HISARMETAL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HITECH-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HITECHCORP-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HITECHGEAR-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HLEGLAS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HLVLTD-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HMAAGRO-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HMT-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HMVL-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HNDFDS-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
NSE:HONDAPOWER-EQ,no Industry in merged Nifty CSVs; backfill from disclosures / Screener / vendor
